SampleID,Plate,Description,Run,Row,Column,Well,isotope,treatment,ecosystem,sampleID,Density.g.ml,avg_16S_copies,dna_ng_ul,uL_added,dry_soil_wt_g,timepoint,avg_16S_g_soil
w0.GL.1,1,w0-GL-1,w0,A,1,,,,GL,W0_GL_1,,1474379.1343951,6.9971,,0.227268162865701,0,478883.304857008
w0.GL.2,1,w0-GL-2,w0,B,1,,,,GL,W0_GL_2,,1513542.19270563,6.6604,,0.262258375949392,0,595968.886838418
w0.GL.3,1,w0-GL-3,w0,C,1,,,,GL,W0_GL_3,,2129832.22812659,8.8925,,0.248800601686434,0,595899.398199667
w0.GL.4,1,w0-GL-4,w0,D,1,,,,GL,W0_GL_4,,675164.541679435,4.4426,,0.230884939698871,0,350887.598461424
w0.MC.1,1,w0-MC-1,w0,E,1,,,,MC,W0_MC_1,,10757469.2505157,38.474,,0.23586145022997,0,659477.126950913
w0.MC.2,1,w0-MC-2,w0,F,1,,,,MC,W0_MC_2,,13328097.0725691,49.8906,,0.228371358809835,0,610085.995921474
w0.MC.3,1,w0-MC-3,w0,G,1,,,,MC,W0_MC_3,,13216785.8480061,39.3632,,0.239300777922889,0,803488.317786179
w0.MC.4,1,w0-MC-4,w0,H,1,,,,MC,W0_MC_4,,10923519.7562159,35.2708,,0.218206234739651,0,675794.174248404
w0.PJ.1,1,w0-PJ-1,w0,A,2,,,,PJ,W0_PJ_1,,1067908.65602238,5.7348,,0.270593557265916,0,503887.148755248
w0.PJ.2,1,w0-PJ-2,w0,B,2,,,,PJ,W0_PJ_2,,1199444.2436566,4.6714,,0.262579030531628,0,674206.676105861
w0.PJ.3,1,w0-PJ-3,w0,C,2,,,,PJ,W0_PJ_3,,922554.765257771,5.0666,,0.259769814975279,0,473003.356640692
w0.PJ.4,1,w0-PJ-4,w0,D,2,,,,PJ,W0_PJ_4,,1673060.21165412,8.6325,,0.236304602681074,0,457980.68760665
w0.PP.1,1,w0-PP-1,w0,E,2,,,,PP,W0_PP_1,,2295667.75808081,9.3696,,0.280005491616522,0,686048.048144655
w0.PP.2,1,w0-PP-2,w0,F,2,,,,PP,W0_PP_2,,3451908.58571468,14.7789,,0.28067757200444,0,655578.778271507
w0.PP.3,1,w0-PP-3,w0,G,2,,,,PP,W0_PP_3,,1601727.96938595,8.1138,,0.25497049716656,0,503331.825630309
w0.PP.4,1,w0-PP-4,w0,H,2,,,,PP,W0_PP_4,,1272384.07175334,7.3793,,0.2505179645966,0,431958.407763312
DIM.21.10,1,21.1,1,G,12,G12,18O,C,GL,W1_GL_24,1.7046212,247688.5603,21.6,50,0.2556977109962,7,29321.0175503029
