ecosystem,taxon_id,rep,sample_id,tube_shift,timepoint,Phylum,Class,Order,Family,Genus,Species,treatment,wvd,abund_16s,abund_16s_t0,growth,mortality,growth_corrected,mortality_corrected
GL,001a0a441a9322685c20e0deb0c544e7,2,W1_GL_20,0,7,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,unknown Chthoniobacter,control,2.33981101177508e-05,135.415159576468,652.11434108287,0.010184945066886,-0.23473845944942,0.010636800505063,-0.235190314887597
GL,001a0a441a9322685c20e0deb0c544e7,3,W1_GL_21,0,7,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,unknown Chthoniobacter,control,2.49663805559523e-05,456.903289857681,543.001957505962,0.0264907195593579,-0.0511537446991588,0.0269961288466933,-0.0516591539864942
GL,00b2d8ab4627101e3fee62faa5da1bdc,1,W1_GL_19,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,unknown Flavisolibacter,control,3.23827942677959e-05,160.968144720587,1555.02629097121,0.015413121597377,-0.339419013785651,0.0312931055113609,-0.355298997699635
GL,00b2d8ab4627101e3fee62faa5da1bdc,1,W1_GL_22,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,unknown Flavisolibacter,C,5.11249350357785e-05,618.467058678081,1555.02629097121,0.0617115649579469,-0.193426393736873,0.0617547840309545,-0.193469612809881
GL,00b2d8ab4627101e3fee62faa5da1bdc,1,W1_GL_28,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,unknown Flavisolibacter,C_N,3.77648383083477e-05,147.444426543991,1555.02629097121,0.00181365906517122,-0.338356001387477,0.0235249468573434,-0.360067289179649
GL,00b2d8ab4627101e3fee62faa5da1bdc,3,W1_GL_21,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,unknown Flavisolibacter,control,4.10720888335133e-05,281.565063213399,1040.75375188643,0.0386828067978012,-0.225445226763246,0.0392356358499351,-0.22599805581538
GL,00b2d8ab4627101e3fee62faa5da1bdc,3,W1_GL_24,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,unknown Flavisolibacter,C,7.98461731204738e-05,212.077967831781,1040.75375188643,0.0425316737447637,-0.269781175344813,0.0660550878251472,-0.293304589425197
GL,00b2d8ab4627101e3fee62faa5da1bdc,3,W1_GL_30,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,unknown Flavisolibacter,C_N,6.012368327613e-05,705.756796822821,1040.75375188643,0.0273554315613115,-0.082845402036546,0.0393354420848665,-0.0948254125601011
GL,012c36a8a0802347422423a34b3e06b4,2,W1_GL_20,0,7,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Stenotrophobacter,unknown Stenotrophobacter,control,1.34482390350161e-05,90.5905371135656,318.10455662579,0.0143692239305639,-0.193802132849995,0.0148358863161652,-0.194268795235596
GL,012c36a8a0802347422423a34b3e06b4,2,W1_GL_29,0,7,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Stenotrophobacter,unknown Stenotrophobacter,C_N,1.14569351478182e-05,11.6879136900453,318.10455662579,-0.0141792949115003,-0.457795681264467,0.000890056113438497,-0.472865032289406
GL,014f4bdeb000cbd4672469b5494b50e2,1,W1_GL_19,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,control,2.39039177002356e-05,550.998751106502,1231.0624803522,0.00084649877369731,-0.11568940421797,0.0149949588195694,-0.129837864263842
GL,014f4bdeb000cbd4672469b5494b50e2,1,W1_GL_22,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,C,4.6865873315294e-05,222.927400095652,1231.0624803522,0.00468977039545166,-0.248802159298472,0.00471854651018773,-0.248830935413208
GL,014f4bdeb000cbd4672469b5494b50e2,1,W1_GL_28,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,C_N,1.68067015437318e-05,468.395768979972,1231.0624803522,-0.00443733356065505,-0.133608278139882,0.0161064120140322,-0.154152023714569
GL,014f4bdeb000cbd4672469b5494b50e2,2,W1_GL_20,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,control,2.6423225975371e-05,1156.43287112634,1717.76460577927,0.0141751924020929,-0.070701426915989,0.0146383049414699,-0.071164539455366
