taxonID,record_id,best_match,num_16s,nstd,Kingdom,Phylum,Class,Order,Family,Genus
867f66ffe0c530553293c869f402fc30,GCF_001753245.1,Acidihalobacter prosperus|GCF_001753245.1|NZ_CP017415.1|Chromosome: ANONYMOUS|770589..772127 +,1,0.106866073892412,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,unknown CCD24,unknown CCD24
ad6cdd007732aca6a03d7fdf6ac21d10,GCF_001753245.1,Acidihalobacter prosperus|GCF_001753245.1|NZ_CP017415.1|Chromosome: ANONYMOUS|770589..772127 +,1,0.120776828159258,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter
ca503d010ad6c020964319630fc8b624,GCF_001753245.1,Acidihalobacter prosperus|GCF_001753245.1|NZ_CP017415.1|Chromosome: ANONYMOUS|770589..772127 +,1,0.116111183252923,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter
092a71f922c68730d068a39e50550ce1,GCF_003325455.1,Acidipropionibacterium virtanenii|GCF_003325455.1|NZ_CP025198.1|Chromosome: ANONYMOUS|1506228..1507766 +,3,0.220758241707858,Bacteria,Chloroflexi,TK10,unknown TK10,unknown TK10,unknown TK10
0ecb45709d72e320408adbea20c3a77b,GCF_000022565.1,Acidobacterium capsulatum ATCC 51196|GCF_000022565.1|NC_012483.1|Chromosome: ANONYMOUS|2863328..2864827 +,1,0.147797878898194,Bacteria,Acidobacteria,Acidobacteriia,Subgroup 2,unknown Subgroup 2,unknown Subgroup 2
48c9b313a43cfbd424717c62d5d264aa,GCF_000022565.1,Acidobacterium capsulatum ATCC 51196|GCF_000022565.1|NC_012483.1|Chromosome: ANONYMOUS|2863328..2864827 +,1,0.215429622490046,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
aacb68a3aea525085aaa4f4eb1c8f0da,GCF_000022565.1,Acidobacterium capsulatum ATCC 51196|GCF_000022565.1|NC_012483.1|Chromosome: ANONYMOUS|2863328..2864827 +,1,0.168634259538411,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter
d0e5bc2083a5c39a09b9c94b1a300cc7,GCF_000022565.1,Acidobacterium capsulatum ATCC 51196|GCF_000022565.1|NC_012483.1|Chromosome: ANONYMOUS|2863328..2864827 +,1,0.178926016229756,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter
ef3d58659badc484707086b6d6c3ab6f,GCF_000022565.1,Acidobacterium capsulatum ATCC 51196|GCF_000022565.1|NC_012483.1|Chromosome: ANONYMOUS|2863328..2864827 +,1,0.0932086403578216,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,unknown Acidobacteriales,unknown Acidobacteriales
824c496b0e954cace49e21af1a62eeda,GCF_009892325.1,Acinetobacter haemolyticus|GCF_009892325.1|NZ_CP031984.1|Chromosome: ANONYMOUS|515257..516841 +,6,0.260974962035176,Bacteria,FBP,unknown FBP,unknown FBP,unknown FBP,unknown FBP
f44ba6d2945f178b1179365a4b456932,GCF_009892325.1,Acinetobacter haemolyticus|GCF_009892325.1|NZ_CP031984.1|Chromosome: ANONYMOUS|515257..516841 +,6,0.234818840982821,Bacteria,unknown Bacteria,unknown Bacteria,unknown Bacteria,unknown Bacteria,unknown Bacteria
16a43efaadf99ec1ac8c5c225df2b4f1,GCF_013364275.1,Actinomadura sp. NAK00032|GCF_013364275.1|NZ_CP054932.1|Chromosome: ANONYMOUS|1420843..1422365 +,5,0.066617967589432,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
266748a299df5d933dcd832826983cfe,GCF_013364275.1,Actinomadura sp. NAK00032|GCF_013364275.1|NZ_CP054932.1|Chromosome: ANONYMOUS|1420843..1422365 +,5,0.0627981696825627,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus
50477fe238e2c07d6844decec3dd8167,GCF_013364275.1,Actinomadura sp. NAK00032|GCF_013364275.1|NZ_CP054932.1|Chromosome: ANONYMOUS|1420843..1422365 +,5,0.020189644434759,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
